name,keywords
敏忠餐廳,"['排骨', '炒飯', 'u200d', '餐點', '價格', '時間', '超級', '跑操', '等待', '很不錯']"
滿豐牛肉麵,"['喜歡', '綜合', '牛肉', '鳳爪', '湯頭', '口味', '牛油', '我覺', '無論', '牛雜']"
Dapoer WINA - 威納印尼小吃,"['乳鴿', '滿滿', '餐點', '感覺', '價格', '整體', '嘗試', '店面', '印尼', '有趣']"
小曼谷泰國雲南料理 政大店,"['套餐', '不會', '選擇', '白飯', '整體', '菜色', '味道', '可以', '豆苗', '內用']"
巴東蜀味,"['真的', '牛肉', '推薦', '沒有', '小時候', '出菜', '味道', '家人', '三桌', '奧還']"
渣男TaiwanBistro 木柵二渣,"['口味', '適合', '味道', '份量', '不錯', '這個', '還有', '調酒', '用餐', '牛腱']"
浪速食鋪,"['咖哩', '豬排', '套餐', '烏龍', '日式', '味道', '一個', '再訪', '覺得', '歐姆蛋']"
馥森梧桐墅 Fusen Wútong Restaurant,"['覺得', '不錯', '不會', '適合', '服務人員', '有點', '感覺', '很棒', '用餐', '口味']"
來來牛肉麵,"['牛肉', '紅燒', '小菜', '清燉', '軟嫩', '湯頭', '口感', '20', '風味', '幼筍']"
追夢輸送 居酒屋,"['明太子', '海苔', '居酒', '這間', '不錯', '適合', '宵夜', '回訪', '餐點', '份量']"
