place_id,keywords
ChIJP7jmOHoABDQR2FXzUchA_qc,"['were', 'had', 'us', 'nice', 'very', 'food', 'two', 'great', 'gave', 'people']"
ChIJC5XVd14ABDQR8iQe2ccJfs4,"['主菜', '餐廳', '甜品', 'set', '價錢', '環境', 'Afternoon', '前菜', '選擇', 'Tartare']"
ChIJw744EiwBBDQRaDZQTJaTwF4,"['Momo', '餃子', 'taste', 'will', 'My', 'Kitchen', '豬肉', 'Bhutuwa', '雞肉', 'Chicken']"
ChIJQTBnIewABDQRy53GtaGyLOM,"['good', '其實', 'Staff', '環境', '瘦瘦', '80', '仲貴過', '好積', 'staff', '飲杯']"
ChIJw53ZrnsABDQRnFkAP8siOzc,"['餐廳', '沙律', '美食', '芝士', '火腿', '仲有', '意粉', '意大利', '牛扒', '南意']"
ChIJR4nfLesABDQRTbf8iCnihQs,"['牛肉', '女侍', '炒粉', '太油', '單個', '應態度', '盡管', '經好', '禮貌', '當我']"
ChIJNaq0qO8ABDQRwAmVVhU3wTw,"['芝士', '蕃茄', '餐廳', 'Bar', '因為', 'pizza', '侍應', '88', '午餐', 'Fog']"
ChIJITBKHu4ABDQRNJmMtY9rozs,"['were', 'good', 'very', 'restaurant', 'place', 'but', 'well', 'curry', '芝士', '羊肉']"
ChIJvWqoTnwABDQR6bU6hkFwm4Y,"['沙律', '甜品', '意大利', '海鮮', '黑松', '這道', '餐廳', '菠蘿雪葩', '口感', '芝士']"
ChIJlylxcGipQjQR5Omra83nlv8,"['壽司', '還有', '餐點', '一點', '用餐', '內用', '點餐', '覺得', '沒有', '40']"
ChIJD-umh6l8qjYR5FgQZgLcToI,[]
ChIJ9ZQG7Ax8qjYRH_FK5l57Wzg,[]
ChIJM11ZtHN8qjYRejb6YPkYyC8,[]
ChIJuYMEOHB8qjYRks-Hh_42Z-E,[]
ChIJ5f1uIah8qjYRsXx__j8IZ7U,[]
ChIJL2WXUHB8qjYRkF6mPBkoBWc,[]
ChIJPSgDWnB8qjYRh-RbkaPgVe4,[]
ChIJUbn9NXB8qjYRkJ8ZrOiMDoM,[]
ChIJE1T_qHF8qjYRV7e9hFp1AKQ,[]
ChIJERKL9XB8qjYRwIKGzP-yHuo,[]
ChIJ4WlbTSipQjQRtfKi0Z35pmc,"['壽司', '炙燒', '鮭魚', '螃蟹', '明太子', '盤子', '感覺', '餐點', '推薦', '天婦']"
ChIJm8KF3mqpQjQR2qzgxoqiSyM,"['冷氣', '豬腳', '服務', '乾淨', '座位', '太油', '蹄膀', '制式化', '配菜', '人龍']"
ChIJ5-TzmJCuQjQRGS1tphiXcxA,"['烤餅', '咖哩', '印度', '奶茶', '香料', '餐廳', '服務', '因為', '料理', '非常']"
ChIJ1dlb8oCuQjQRPamThjRT7YM,"['咖哩', '烤餅', '味道', '天母', '咖喱', '莎拉', '很特別', '兩種', '飽足感', '單上']"
ChIJOZ-SUe6pQjQRsS4L6q-wQ0w,"['料理', '餐點', '用餐', '台灣', '嘗試', '特別', '嘴豆', '非常', '番茄', '不錯']"
ChIJVdcHlsmpQjQRNzhCR2lg4a8,"['烤餅', '咖哩', '美味', '料理', '香料', '不錯', '濃郁', '鈴薯', '非常', '味道']"
ChIJyQU1ZgWsQjQR5kN2WtEzKtU,"['提拉', '幫忙', '薯條', '不錯', '淡菜', '羊排', '下次', '厲害', '餐廳', '人覺']"
ChIJVz_H32ipQjQRDDbDTPoI01Q,"['口感', '濃郁', '濃湯', '味道', '香氣', '菲力', '多汁', '巧克力', '服務', '軟嫩']"
ChIJiU5dGbevQjQR4xyi0i2ZWsg,"['咖哩', '咖喱', '口味', '羊肉', '不錯', '不過', '烤餅', '服務生', '服務', '喜歡']"
ChIJ37mFwu6rQjQRMDAw9IxDH44,"['起司', '甜點', '比較', '覺得', '因為', '口味', '牛排', '雙人餐', '巴薩米', '章魚']"
ChIJv10eiOavQjQRWPeSuK74gO8,"['時間', '烤餅', '薯條', '午餐', '服務', '氣氛', '調味', '酥脆', '用餐', '口感']"
ChIJY18lhgWsQjQRVDL4fFiS-Ls,"['濃湯', '一點', '有點', '鮮嫩', '一個', '飲料', '好喝', '牛排', '多汁', '洋式']"
ChIJLX9CmLyuQjQRpwXnN-6q4Kc,"['秋葵', '無法', '一個', '托盤', '士林', '曾經', '漲價', '餐點', '衛生', '起司']"
ChIJN6ooZWWsQjQRrI4es2-1JXY,"['店員', '主餐', '這個', '沒有', '一個', '朋友', '問題', '不會', '服務', '真的']"
ChIJ0erkH1qpQjQRZnTghRueYS8,"['海鮮', '冬粉', '餐廳', '起來', '鮑魚', '不錯', '香氣', '鮮度', '干貝', '真的']"
ChIJl7BM8Kg9aTQRxE8DPYB35pI,"['鮭魚', '甜點', '不錯', '餐點', '牛排', '特別', '濃郁', '口感', '套餐', '沙拉']"
ChIJlde_LXY9aTQR32PtofU_ILM,"['用餐', '覺得', '飲料', '口味', '餐廳', '經驗', '餐點', '服務人員', '不錯', '服務']"
ChIJX5QjQP09aTQRgt9zeT00xcI,[]
ChIJH2hXeoc9aTQRpLcZswzvNps,"['咖哩', '推薦', '評論', '烤餅', '羊肉', '評分', '應該', '感覺', '絕對', '奶油']"
ChIJOwLXn0UZaTQRBcYUbeVJ3cw,"['烤餅', '一個', '覺得', '咖哩', '套餐', '口味', '咖喱', '印度', '用餐', '有點']"
ChIJgfUDESI9aTQRny_Se6H-CME,"['咖哩', '料理', '奶油', '親切', '甩餅', '烤餅', '印度', '奶茶', '介紹', '雞肉']"
ChIJ38EZvRQ9aTQRoE78UoCa-Wk,"['米其林', '不錯', '口味', '比登', '越南', '腿肉', '符合', '外送', '當配', '煮過']"
ChIJEZUpRpw9aTQRQ7azy0iHTYw,"['搭配', '喜歡', '特別', '熱菜', '甜點', '起來', '有點', '前菜', '分熟', '紅豆']"
ChIJj8eYU8IXaTQRgf9h5hnni1Y,"['不錯', '相當', '烤串', '氣氛', '這個', '價位', '有點', '很棒', '啤酒', '非常']"
ChIJnUh0IHo9aTQRkfWppHa8gOo,"['羊肉', '沙茶', '特別', '不錯', '爐子', '一個', '喜歡', '覺得', '一點', '150']"
ChIJSQHDXWA9aTQRFma3_d_pGxk,"['food', 'taste', 'more', 'elegant']"
ChIJcWLR66gZaTQRo66QnFIet-c,"['牛排', '大利', '推薦', '薯條', '餐點', '沙拉', '沒有', '餐廳', '適合', '排餐']"
ChIJcenRlf89aTQRCNaptk-3vdU,"['無菜', '什麼', '料理', '餐廳', '白飯', '茶姬', '份量', '推薦', 'FiFi', '小編']"
ChIJUV_Zk589aTQRgPJ8acF-s0c,"['餐廳', '餐點', '服務', '濃湯', '感覺', '有點', '調味', '起來', '用餐', '沙拉']"
ChIJMcQEFdQ9aTQRtmOK80GtqGY,"['餐點', '推薦', '美味', '明太子', '豬排', '唐揚', '服務', '酥脆', '腿肉', '二訪']"
ChIJS3AWA0IjaTQRnBKC--cZAjo,"['咖哩', '羊肉', '有點', '烤餅', '北印', '蜜汁', '口感', '搭配', '感覺', '起來']"
ChIJfw_3WaU9aTQRM9ic1M8y2GA,"['Napakasarap', 'na', 'lutong', 'pinoy', 'food', 'sa', 'taichung']"
ChIJYeO9s6w9aTQRHVjUSNqOkv4,[]
ChIJz48N6akXaTQRCmN89b-AAvc,"['主餐', '感覺', '餐點', '料理', '眼心', '親切', '價格', '餐廳', '一個', '種類']"
ChIJ79ndkZ09aTQR3ICGno49X3Q,"['咖喱', '咖哩', '倒入', '唐揚', '茶葉', '覺得', '濃郁', '一點', '烏龍', '可以']"
ChIJ-09cfktl0DURtB8XriKcblo,[]
ChIJE2-oU0ll0DUR8gZPTMTCQ4c,[]
ChIJPWjH8EBl0DUR7br8o4AILbk,[]
ChIJ9bHCkjll0DURLIO6uJ4AHLo,[]
ChIJx8OGOglw0DURPzAaW6hFIME,[]
ChIJffwN1U1l0DUR-_nVtJMma7I,[]
ChIJQaXy11Jl0DURJhN4l1eSvAM,[]
ChIJG-078zJl0DURHQS5A8WJRW8,[]
ChIJ4RWhL9J60DURYqe76EndAOs,[]
ChIJXYBDy0Bl0DURIGhA9CSa0MY,[]
ChIJ2zDfka960DURniF2EKyIqY4,[]
ChIJvTkErzFl0DURXcS2xiCu12M,[]
ChIJGVM-axVl0DURaDSD5HZwKwI,[]
ChIJDTkezq160DURv7cy1jldeVY,[]
ChIJW0pEea560DURj9J6VLTRX1M,[]
ChIJkakngD9l0DUR8KmhktShT38,[]
ChIJO2s1G2ll0DUR8t9e2bd44n8,[]
ChIJ8zCm9mZl0DURVbMEtZlCC9U,[]
ChIJxQHcWj9l0DURSfHSmJIf3_c,[]
ChIJY251qdJ60DUR9_2FHa2dSTM,[]
ChIJ1_cbEe3q3TUR1Lov9iyHWqg,[]
ChIJz0AG2pvr3TURYpOnwvsTur4,[]
ChIJ7Q4QeD3r3TURHZws6YAx3SM,[]
ChIJTzRfqA_r3TURKwEl3Be1_P4,[]
ChIJE6lZSzzr3TURGuLQ4QnD_Fw,[]
ChIJHx1IblDq3TUR-XZgYpQOJo0,[]
ChIJb-zCbCHr3TURbeiSqSgqM2Y,[]
ChIJyyNJIDXr3TURBzTr8CLM5bg,[]
ChIJAcSGcwzr3TURXU8kub7FWMc,[]
ChIJ5cEXCbWU3TURgjJvlVTewUs,[]
ChIJ3eWP6wHr3TURcFPqfKlvVUM,[]
ChIJ8fxCEHPr3TURKxvGgw38c_c,[]
ChIJX1n-Zl_q3TURPOaiD0yryZo,[]
ChIJ5yBj4Tfr3TURFgAx5s5vXrs,[]
ChIJhSy_DCHr3TURBAgOssbj2J8,[]
ChIJPUqL863r3TURRxhSEVfyqjk,[]
ChIJdUcHXeHq3TUR23ohwWnFDuU,[]
ChIJ-bU_nB3r3TURr7fVF75FQC8,[]
ChIJFZZeYOHq3TURNoy2DhhAUJA,[]
ChIJOQC7DhHr3TURGTJv313mq-4,[]
ChIJexPOY5qRozYRKYhhWO8XnDo,[]
ChIJ9TfGgZqRozYR8_t6UT2L3ns,[]
ChIJiZYpY5qRozYRQRa2V6rNN_g,[]
ChIJr3mUfJCRozYRSgiFcixw664,[]
ChIJ44j6gJqRozYRwUBViI7pHlU,[]
ChIJf4YCAJuRozYRI1RYCmeAmhM,[]
ChIJxRjmspGRozYRX9666iTOpvY,[]
ChIJESmef5CRozYRcNz_meYRA4o,[]
ChIJ7VTMiZCRozYRmKhwQhWT6Ss,[]
