place_id,keywords
ChIJdePzm4D_AzQR6m5eaZ0L35U,"['房間', '服務', '--', '空間', '海景', '設備', '酒店', '浴缸', '雖然', '沒有']"
ChIJCT9otID_AzQRJRKJZCuHZ_0,"['房間', '方便', '樓下', '地鐵站', '叮叮', '交通', '甜品店', '便利商店', 'cp', '值高']"
ChIJT4lk0-oABDQRK6UGHl8hCXE,"['飯店', '酒店', '地毯', '房間', '發霉', '沒有', '喜歡', '硬床', '市區', '購物']"
ChIJT-RqWFcABDQRgrzDG7mfM6Y,"['房間', '..', '很棒', '雖然', '結果', '沒有', '人員', '這間', '冷氣壞', '冷氣']"
ChIJXbxoUXsABDQRMl52jeBvb4o,"['酒店', '服務', '房間', '並且', '中環', '旅遊', '香港', '非常', '面積', '空間']"
ChIJ75-B9CSpQjQR3E5EDSQOre0,"['房間', '櫃台', '服務人員', '聲音', '入住', '浴缸', '人員', '旁邊', '市場', '因為']"
ChIJyZ_6ENqrQjQRt_YU1KDhciU,"['房間', '空調', '服務人員', '枕頭', '設施', '冷氣', '無法', '溫度', '飯店', '雖有點']"
ChIJlZjwf4ipQjQR_Xtb6ngbEs8,"['地點', '出差', '有點', '早餐', '咖啡', '大安', '牛奶', '房間', '頻道', '不會']"
ChIJD0_049YTqjYR4VE3hVjAQgQ,[]
ChIJ85OmEdSrQjQRrf-kvU8IsZA,"['早餐', '溫度', '飯店', '用餐', '設備', '房間', '喜歡', '住宿', '非常', '覺得']"
ChIJc9A7RxerQjQRgbvMxAZ3G5c,"['浴室', '房間', '沒有', '遺失', '全開', '蓮蓬頭', '水壓', '結果', '飯店', '東西']"
ChIJm-Ahr0irQjQRXEKgIHhy0mc,"['房間', '無法', 'agoda', '討論', '解決', '沒有', '住宿', '入住', '糟糕', '氣味']"
ChIJ1ULSQtyrQjQR0cRPSmp72Ec,"['房間', '隔音', '人員', '舒適', '乾淨', '非常', '當天', '大樓', '打電話', '雙人']"
ChIJk5TtQKerQjQRJVpFBDxL3vc,"['房間', '早餐', '親切', '還有', '選擇', '適合', '地點', '服務人員', '起來', '剛好']"
ChIJh12UhFGrQjQRz5R9URT8Shg,"['房間', '早餐', '浴缸', '親切', '問題', '飯店', '菜色', '浴室', '真的', '提供']"
